Year,Match ID,Match No.,match_name,Winner,Venue,match_date
2008,335982,1st match,Royal Challengers Bangalore Vs Kolkata Knight Riders 1St Match,KKR,M Chinnaswamy Stadium,18-04-2008
2008,335983,2nd match,Kings Xi Punjab Vs Chennai Super Kings 2Nd Match,Super Kings,Punjab Cricket Association Stadium,19-04-2008
2008,335984,3rd match,Delhi Daredevils Vs Rajasthan Royals 3Rd Match,Daredevils,Feroz Shah Kotla,19-04-2008
2008,335986,4th match,Kolkata Knight Riders Vs Deccan Chargers 4Th Match,KKR,Eden Gardens,20-04-2008
2008,335985,5th match,Mumbai Indians Vs Royal Challengers Bangalore 5Th Match,RCB,Wankhede Stadium,20-04-2008
2008,335987,6th match,Rajasthan Royals Vs Kings Xi Punjab 6Th Match,Royals,Sawai Mansingh Stadium,21-04-2008
2008,335988,7th match,Deccan Chargers Vs Delhi Daredevils 7Th Match,Daredevils,Rajiv Gandhi International Stadium,22-04-2008
2008,335989,8th match,Chennai Super Kings Vs Mumbai Indians 8Th Match,Super Kings,MA Chidambaram Stadium,23-04-2008
2008,335990,9th match,Deccan Chargers Vs Rajasthan Royals 9Th Match,Royals,Rajiv Gandhi International Stadium,24-04-2008
2008,335991,10th match,Kings Xi Punjab Vs Mumbai Indians 10Th Match,Kings XI,Punjab Cricket Association Stadium,25-04-2008
2008,335993,11th match,Chennai Super Kings Vs Kolkata Knight Riders 11Th Match,Super Kings,MA Chidambaram Stadium,26-04-2008
2008,335992,12th match,Royal Challengers Bangalore Vs Rajasthan Royals 12Th Match,Royals,M Chinnaswamy Stadium,26-04-2008
2008,335995,13th match,Kings Xi Punjab Vs Delhi Daredevils 13Th Match,Kings XI,Punjab Cricket Association Stadium,27-04-2008
2008,335994,14th match,Mumbai Indians Vs Deccan Chargers 14Th Match,Chargers,Dr DY Patil Sports Academy,27-04-2008
2008,335996,15th match,Royal Challengers Bangalore Vs Chennai Super Kings 15Th Match,Super Kings,M Chinnaswamy Stadium,28-04-2008
2008,335997,16th match,Kolkata Knight Riders Vs Mumbai Indians 16Th Match,Mumbai,Eden Gardens,29-04-2008
2008,335998,17th match,Delhi Daredevils Vs Royal Challengers Bangalore 17Th Match,Daredevils,Feroz Shah Kotla,30-04-2008
2008,336000,18th match,Rajasthan Royals Vs Kolkata Knight Riders 18Th Match,Royals,Sawai Mansingh Stadium,01-05-2008
