Year,Player Name,Team Name,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St
2008,P Amarnath,Chennai Super Kings,6,6,132,-,236,7,47150,33.71,10.72,18.8,-,-,2,-
2008,Abdur Razzak,Royal Challengers Bangalore,1,1,12,-,29,-,-,-,14.5,-,-,-,-,-
2008,AB Agarkar,Kolkata Knight Riders,9,9,156,-,207,8,45717,25.87,7.96,19.5,-,-,1,-
2008,B Akhil,Royal Challengers Bangalore,7,6,104,-,134,2,42767,67,7.73,52,-,-,3,-
2008,S Anirudha,Chennai Super Kings,1,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,J Arunkumar,Royal Challengers Bangalore,3,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,SA Asnodkar,Rajasthan Royals,9,-,0,-,-,-,-,-,-,-,-,-,5,-
2008,S Badrinath,Chennai Super Kings,16,-,0,-,-,-,-,-,-,-,-,-,5,-
2008,L Balaji,Chennai Super Kings,9,9,198,-,286,11,45413,26,8.66,18,1,-,1,-
2008,SB Bangar,Deccan Chargers,11,9,150,-,219,4,12451,54.75,8.76,37.5,-,-,2,-
2008,R Bhatia,Delhi Daredevils,9,9,132,-,183,6,42767,30.5,8.31,22,-,-,1,-
2008,MV Boucher,Royal Challengers Bangalore,10,-,0,-,-,-,-,-,-,-,-,-,3,1
2008,DJ Bravo,Mumbai Indians,9,9,170,1,232,11,45352,21.09,8.18,15.4,-,-,4,-
2008,S Chanderpaul,Royal Challengers Bangalore,3,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,PP Chawla,Kings XI Punjab,15,15,281,-,389,17,45717,22.88,8.3,16.5,-,-,6,-
2008,B Chipli,Royal Challengers Bangalore,3,-,0,-,-,-,-,-,-,-,-,-,1,-
2008,SD Chitnis,Mumbai Indians,3,2,36,-,60,2,14642,30,10,18,-,-,1,-
2008,A Chopra,Kolkata Knight Riders,5,-,0,-,-,-,-,-,-,-,-,-,2,-
2008,DB Das,Kolkata Knight Riders,6,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,H Das,Deccan Chargers,1,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,AB de Villiers,Delhi Daredevils,6,-,0,-,-,-,-,-,-,-,-,-,3,-
2008,P Dharmani,Kings XI Punjab,1,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,S Dhawan,Delhi Daredevils,14,-,0,-,-,-,-,-,-,-,-,-,8,-
2008,MS Dhoni,Chennai Super Kings,16,-,0,-,-,-,-,-,-,-,-,-,6,-
2008,TM Dilshan,Delhi Daredevils,7,1,6,-,3,1,45352,3,3,6,-,-,5,-
2008,AB Dinda,Kolkata Knight Riders,13,12,234,-,260,9,12114,28.88,6.66,26,-,-,1,-
2008,R Dravid,Royal Challengers Bangalore,14,-,0,-,-,-,-,-,-,-,-,-,2,-
2008,CRD Fernando,Mumbai Indians,5,5,120,-,160,10,43191,16,8,12,-,-,2,-
2008,SP Fleming,Chennai Super Kings,10,-,0,-,-,-,-,-,-,-,-,-,2,-
2008,Gagandeep Singh,Kings XI Punjab,4,4,84,-,141,3,12055,47,10.07,28,-,-,-,-
2008,G Gambhir,Delhi Daredevils,14,-,0,-,-,-,-,-,-,-,-,-,2,-
2008,SC Ganguly,Kolkata Knight Riders,13,7,120,-,128,6,44228,21.33,6.4,20,-,-,5,-
2008,B Geeves,Delhi Daredevils,2,2,48,-,91,1,18264,91,11.37,48,-,-,3,-
2008,HH Gibbs,Deccan Chargers,9,-,0,-,-,-,-,-,-,-,-,-,5,-
2008,AC Gilchrist,Deccan Chargers,14,-,0,-,-,-,-,-,-,-,-,-,6,1
2008,K Goel,Kings XI Punjab,7,1,12,-,25,-,-,-,12.5,-,-,-,2,-
2008,MS Gony,Chennai Super Kings,16,16,360,3,443,17,12479,26.05,7.38,21.1,-,-,2,-
2008,SP Goswami,Royal Challengers Bangalore,4,-,0,-,-,-,-,-,-,-,-,-,2,2
2008,Harbhajan Singh,Mumbai Indians,3,3,60,-,82,5,11749,16.4,8.2,12,-,-,2,-
2008,ML Hayden,Chennai Super Kings,4,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,BJ Hodge,Kolkata Knight Riders,3,-,0,-,-,-,-,-,-,-,-,-,1,-
2008,JR Hopes,Kings XI Punjab,11,11,168,-,276,7,45324,39.42,9.85,24,-,-,3,-
2008,DJ Hussey,Kolkata Knight Riders,13,5,78,-,130,2,44927,65,10,39,-,-,5,-
2008,MEK Hussey,Chennai Super Kings,4,-,0,-,-,-,-,-,-,-,-,-,2,-
2008,Iqbal Abdulla,Kolkata Knight Riders,1,1,18,-,22,-,-,-,7.33,-,-,-,-,-
2008,RA Jadeja,Rajasthan Royals,14,2,13,-,21,-,-,-,9.69,-,-,-,7,-
2008,W Jaffer,Royal Challengers Bangalore,6,-,0,-,-,-,-,-,-,-,-,-,3,-
2008,ST Jayasuriya,Mumbai Indians,14,8,126,1,159,4,41699,39.75,7.57,31.5,-,-,2,-
2008,DPMD Jayawardene,Kings XI Punjab,13,-,0,-,-,-,-,-,-,-,-,-,3,-
2008,Joginder Sharma,Chennai Super Kings,8,7,148,-,239,8,46419,29.87,9.68,18.5,-,-,4,-
2008,SB Joshi,Royal Challengers Bangalore,4,4,55,-,82,1,46388,82,8.94,55,-,-,-,-
2008,M Kaif,Rajasthan Royals,16,-,0,-,-,-,-,-,-,-,-,-,8,-
2008,JH Kallis,Royal Challengers Bangalore,11,11,206,-,311,4,14277,77.75,9.05,51.5,-,-,3,-
2008,D Kalyankrishna,Deccan Chargers,3,3,48,-,87,2,10959,43.5,10.87,24,-,-,1,-
2008,Kamran Akmal,Rajasthan Royals,6,-,0,-,-,-,-,-,-,-,-,-,5,4
2008,CK Kapugedera,Chennai Super Kings,5,3,17,-,49,-,-,-,17.29,-,-,-,4,-
2008,KD Karthik,Delhi Daredevils,13,-,0,-,-,-,-,-,-,-,-,-,6,2
2008,M Kartik,Kolkata Knight Riders,6,5,88,-,127,3,42795,42.33,8.65,29.3,-,-,4,-
2008,SM Katich,Kings XI Punjab,2,-,0,-,-,-,-,-,-,-,-,-,-,-
2008,U Kaul,Kings XI Punjab,5,-,0,-,-,-,-,-,-,-,-,-,2,-
