Player ID,Name,dob,Bowling,Batting,Nationality,country_id
102743,Yashasvi Jaiswal,28-12-2001,legbreak,left-hand bat,India,6
48405,Rohit Sharma,30-04-1987,right-arm offbreak,right-hand bat,India,6
7568,Chris Gayle,21-09-1979,right-arm offbreak,left-hand bat,West Indies,4
8742,Robin Uthappa,11-11-1985,right-arm medium,right-hand bat,India,6
6256,Michael Hussey,27-05-1975,right-arm medium,left-hand bat,Australia,2
9900,Parthiv Patel,09-03-1985,right-arm offbreak,left-hand bat,India,6
2281,Rahul Dravid,11-01-1973,right-arm offbreak,right-hand bat,India,6
75325,Ishan Kishan,18-07-1998,,left-hand bat,India,6
50281,Steven Smith,02-06-1989,legbreak googly,right-hand bat,Australia,2
2024,Sourav Ganguly,08-07-1972,right-arm medium,left-hand bat,India,6
53320,Ben Stokes,04-06-1991,right-arm fast-medium,left-hand bat,England,1
55296,Aditya Tare,07-11-1987,,right-hand bat,India,6
15887,Shikhar Dhawan,05-12-1985,right-arm offbreak,left-hand bat,India,6
103589,Prayas Ray Barman,25-10-2002,legbreak googly,right-hand bat,India,6
67457,Vijay Zol,23-11-1994,right-arm offbreak,left-hand bat,India,6
51096,Ajinkya Rahane,06-06-1988,right-arm medium,right-hand bat,India,6
10125,Shane Watson,17-06-1981,right-arm fast-medium,right-hand bat,Australia,2
58116,Ashok Menaria,29-10-1990,slow left-arm orthodox,left-hand bat,India,6
6253,Brad Hodge,29-12-1974,right-arm offbreak,right-hand bat,Australia,2
10401,Johan Botha,02-05-1982,right-arm offbreak,right-hand bat,South Africa,3
10553,Stuart Binny,03-06-1984,right-arm medium,right-hand bat,India,6
55401,Ankeet Chavan,28-10-1985,slow left-arm orthodox,left-hand bat,India,6
8726,Dishant Yagnik,22-06-1983,,left-hand bat,India,6
17780,Shaun Tait,22-02-1983,right-arm fast,right-hand bat,Australia,2
9815,Siddharth Trivedi,04-09-1982,right-arm medium,right-hand bat,India,6
10129,Shaun Marsh,09-07-1983,slow left-arm orthodox,left-hand bat,Australia,2
50884,Nitin Saini,28-10-1988,,right-hand bat,India,6
11984,David Hussey,15-07-1977,right-arm offbreak,right-hand bat,Australia,2
4173,Azhar Mahmood,28-02-1975,right-arm fast-medium,right-hand bat,Pakistan,7
66725,Gurkeerat Singh Mann,29-06-1990,right-arm offbreak,right-hand bat,India,6
95429,Dewald Brevis,29-04-2003,legbreak,right-hand bat,South Africa,3
61990,Suryakumar Yadav,14-09-1990,right-arm medium,right-hand bat,India,6
104396,Tilak Varma,08-11-2002,right-arm offbreak,left-hand bat,India,6
104752,Hrithik Shokeen,14-08-2000,right-arm offbreak,right-hand bat,India,6
69227,Sandeep Warrier,04-04-1991,right-arm medium,right-hand bat,India,6
80807,Daniel Sams,27-10-1992,left-arm fast-medium,right-hand bat,Australia,2
59261,Jaydev Unadkat,18-10-1991,left-arm medium,right-hand bat,India,6
89779,Riley Meredith,21-06-1996,right-arm fast,right-hand bat,Australia,2
70640,Jasprit Bumrah,06-12-1993,right-arm fast,right-hand bat,India,6
95094,Ruturaj Gaikwad,31-01-1997,right-arm offbreak,right-hand bat,India,6
64864,Mitchell Santner,05-02-1992,slow left-arm orthodox,left-hand bat,New Zealand,5
74975,Shivam Dube,26-06-1993,right-arm medium,left-hand bat,India,6
49247,Ravindra Jadeja,06-12-1988,slow left-arm orthodox,left-hand bat,India,6
60806,Sanju Samson,11-11-1994,,right-hand bat,India,6
53891,David Miller,10-06-1989,right-arm offbreak,left-hand bat,South Africa,3
4176,Adam Gilchrist,14-11-1971,right-arm offbreak,left-hand bat,Australia,2
60628,Rahul Tewatia,20-05-1993,legbreak,left-hand bat,India,6
2347,Herschelle Gibbs,23-02-1974,right-arm bowler,right-hand bat,South Africa,3
67312,Tom Curran,12-03-1995,right-arm fast-medium,right-hand bat,England,1
9570,Scott Styris,10-07-1975,right-arm medium,right-hand bat,New Zealand,5
8244,Ashley Noffke,30-04-1977,right-arm fast-medium,right-hand bat,Australia,2
4169,Shahid Afridi,01-03-1980,legbreak googly,right-hand bat,Pakistan,7
49342,Murali Vijay,01-04-1984,right-arm offbreak,right-hand bat,India,6
8040,Sanjay Bangar,11-10-1972,right-arm medium-fast,right-hand bat,India,6
46933,Faf du Plessis,13-07-1984,legbreak,right-hand bat,South Africa,3
72103,Sam Curran,03-06-1998,left-arm medium-fast,left-hand bat,England,1
51482,Kedar Jadhav,26-03-1985,right-arm offbreak,right-hand bat,India,6
7593,MS Dhoni,07-07-1981,right-arm medium,right-hand bat,India,6
8163,Venugopal Rao,26-02-1982,right-arm offbreak,right-hand bat,India,6
6377,Owais Shah,22-10-1978,right-arm offbreak,right-hand bat,England,1
47023,Angelo Mathews,02-06-1987,right-arm medium,right-hand bat,Sri Lanka,8
17752,Cheteshwar Pujara,25-01-1988,legbreak,right-hand bat,India,6
59601,Mandeep Singh,18-12-1991,right-arm medium,right-hand bat,India,6
51216,Wriddhiman Saha,24-10-1984,,right-hand bat,India,6
7136,Murali Kartik,11-09-1976,slow left-arm orthodox,left-hand bat,India,6
56442,Harpreet Singh,11-08-1991,right-arm medium,left-hand bat,India,6
10280,Shane Bond,07-06-1975,right-arm fast,right-hand bat,New Zealand,5
49327,Ishant Sharma,02-09-1988,right-arm fast-medium,right-hand bat,India,6
71341,Ricky Bhui,29-09-1996,legbreak googly,right-hand bat,India,6
1934,Sachin Tendulkar,24-04-1973,right-arm offbreak,right-hand bat,India,6
15317,Saurabh Tiwary,30-12-1989,,left-hand bat,India,6
7519,Rajagopal Sathish,14-01-1981,right-arm medium,right-hand bat,India,6
103872,Rasikh Salam,05-04-2000,right-arm medium,right-hand bat,India,6
45257,Dwayne Bravo,07-10-1983,right-arm medium,right-hand bat,West Indies,4
101751,Sudhesan Midhun,07-10-1994,legbreak googly,right-hand bat,India,6
53271,Jos Buttler,08-09-1990,,right-hand bat,England,1
96392,Riyan Parag,10-11-2001,legbreak,right-hand bat,India,6
67455,Axar Patel,20-01-1994,slow left-arm orthodox,left-hand bat,India,6
72379,Jofra Archer,01-04-1995,right-arm fast,right-hand bat,England,1
56596,Shreyas Gopal,04-09-1993,legbreak,right-hand bat,India,6
69114,Ankit Rajpoot,04-12-1993,right-arm medium,right-hand bat,India,6
101306,Kartik Tyagi,08-11-2000,right-arm fast,right-hand bat,India,6
52161,Jonny Bairstow,26-09-1989,right-arm medium,right-hand bat,England,1
7704,Laxmi Shukla,06-05-1981,right-arm medium,right-hand bat,India,6
63509,Vijay Shankar,26-01-1991,right-arm medium,right-hand bat,India,6
95319,Priyam Garg,30-11-2000,right-arm medium,right-hand bat,India,6
104814,Abdul Samad,28-10-2001,legbreak,right-hand bat,India,6
59339,Jason Holder,05-11-1991,right-arm medium-fast,right-hand bat,West Indies,4
10384,Brendon McCullum,27-09-1981,right-arm medium,right-hand bat,New Zealand,5
47624,Manoj Tiwary,14-11-1985,legbreak googly,right-hand bat,India,6
49361,Dwaraka Ravi Teja,05-09-1987,legbreak googly,right-hand bat,India,6
7129,Ajit Agarkar,04-12-1977,right-arm fast,right-hand bat,India,6
48965,Ashok Dinda,25-03-1984,right-arm medium-fast,right-hand bat,India,6
56415,Kedar Devdhar,14-12-1989,,right-hand bat,India,6
50377,Ajantha Mendis,11-03-1985,right-arm offbreak,right-hand bat,Sri Lanka,8
7575,Sridharan Sriram,21-02-1976,slow left-arm orthodox,left-hand bat,India,6
2232,Jacques Kallis,16-10-1975,right-arm fast-medium,right-hand bat,South Africa,3
12018,Bharat Chipli,27-01-1983,right-arm medium,right-hand bat,India,6
44853,Dan Christian,04-05-1983,right-arm fast-medium,right-hand bat,Australia,2
44930,Ross Taylor,08-03-1984,right-arm offbreak,right-hand bat,New Zealand,5
8999,Ambati Rayudu,23-09-1985,right-arm offbreak,right-hand bat,India,6
4130,Johan van der Wath,10-01-1978,right-arm medium-fast,right-hand bat,South Africa,3
49040,Kieron Pollard,12-05-1987,right-arm medium,right-hand bat,West Indies,4
51057,Corey Anderson,13-12-1990,left-arm medium-fast,left-hand bat,New Zealand,5
7139,Harbhajan Singh,03-07-1980,right-arm offbreak,right-hand bat,India,6
7678,Zaheer Khan,08-10-1978,left-arm fast-medium,right-hand bat,India,6
45105,Lasith Malinga,28-08-1983,right-arm fast,right-hand bat,Sri Lanka,8
48431,Pragyan Ojha,05-09-1986,slow left-arm orthodox,left-hand bat,India,6
15716,Suresh Raina,27-11-1986,right-arm offbreak,left-hand bat,India,6
55245,Nic Maddinson,21-12-1991,slow left-arm orthodox,left-hand bat,Australia,2
57148,Ryan Ninan,19-11-1985,right-arm offbreak,right-hand bat,India,6
44865,Ben Hilfenhaus,15-03-1983,right-arm fast-medium,right-hand bat,Australia,2
66844,Scott Kuggeleijn,03-01-1992,right-arm fast-medium,right-hand bat,New Zealand,5
9505,Albie Morkel,10-06-1981,right-arm medium-fast,left-hand bat,South Africa,3
7458,Shadab Jakati,27-11-1980,slow left-arm orthodox,left-hand bat,India,6
35812,Aaron Finch,17-11-1986,slow left-arm orthodox,right-hand bat,Australia,2
60530,KL Rahul,18-04-1992,,right-hand bat,India,6
12701,Naman Ojha,20-07-1983,,right-hand bat,India,6
48739,David Warner,27-10-1986,legbreak,left-hand bat,Australia,2
47078,Moises Henriques,01-02-1987,right-arm fast-medium,right-hand bat,Australia,2
11399,Irfan Pathan,27-10-1984,left-arm medium-fast,left-hand bat,India,6
15731,Karn Sharma,23-10-1987,legbreak googly,left-hand bat,India,6
64767,Akshdeep Nath,10-05-1993,right-arm medium-fast,right-hand bat,India,6
54282,Bhuvneshwar Kumar,05-02-1990,right-arm medium,right-hand bat,India,6
75311,Washington Sundar,05-10-1999,right-arm offbreak,left-hand bat,India,6
59600,Karun Nair,06-12-1991,right-arm offbreak,right-hand bat,India,6
64402,Lockie Ferguson,13-06-1991,right-arm fast,right-hand bat,New Zealand,5
71379,George Garton,15-04-1997,left-arm fast,left-hand bat,England,1
61634,Heinrich Klaasen,30-07-1991,right-arm offbreak,right-hand bat,South Africa,3
12049,Cameron White,18-08-1983,legbreak googly,right-hand bat,Australia,2
9587,Kumar Sangakkara,27-10-1977,right-arm offbreak,left-hand bat,Sri Lanka,8
45222,Jean-Paul Duminy,14-04-1984,right-arm offbreak,left-hand bat,South Africa,3
61318,Biplab Samantray,14-12-1988,right-arm medium,right-hand bat,India,6
60609,Ankit Sharma,20-04-1991,slow left-arm orthodox,left-hand bat,India,6
59215,Ashish Reddy,24-02-1991,right-arm medium,right-hand bat,India,6
49092,Luke Pomersbach,28-09-1984,right-arm offbreak,left-hand bat,Australia,2
12562,Amit Mishra,24-11-1982,legbreak,right-hand bat,India,6
49752,Virat Kohli,05-11-1988,right-arm medium,right-hand bat,India,6
47154,Dale Steyn,27-06-1983,right-arm fast,right-hand bat,South Africa,3
46533,AB de Villiers,17-02-1984,right-arm medium,right-hand bat,South Africa,3
66142,Veer Pratap Singh,03-05-1992,right-arm medium,right-hand bat,India,6
7716,Yuvraj Singh,12-12-1981,slow left-arm orthodox,left-hand bat,India,6
51454,Manish Pandey,10-09-1989,right-arm medium,right-hand bat,India,6
47340,Sachin Rana,18-09-1984,right-arm medium-fast,right-hand bat,India,6
8876,Michael Clarke,02-04-1981,slow left-arm orthodox,right-hand bat,Australia,2
45256,Lendl Simmons,25-01-1985,right-arm medium-fast,right-hand bat,West Indies,4
46925,Joe Denly,16-03-1986,legbreak,right-hand bat,England,1
