Year,Season No,Champion,Orange Cap Winner,Purple Cap Winner,MVP,Runner-Up
2008,1,Rajasthan Royals,Shaun Marsh,Sohail Tanvir,Shane Watson,Chennai Super Kings
2009,2,Deccan Chargers,Matthew Hayden,R.P. Singh,Adam Gilchrist,Royal Challengers Bangalore
2010,3,Chennai Super Kings,Sachin Tendulkar,Pragyan Ojha,Sachin Tendulkar,Mumbai Indians
2011,4,Chennai Super Kings,Chris Gayle,Lasith Malinga,Chris Gayle,Royal Challengers Bangalore
2012,5,Kolkata Knight Riders,Chris Gayle,Morne Morkel,Sunil Narine,Chennai Super Kings
2013,6,Mumbai Indians,Michael Hussey,Dwayne Bravo,Shane Watson,Chennai Super Kings
2014,7,Kolkata Knight Riders,Robin Utthapa,Mohit Sharma,Glenn Maxwell,Punjab Kings
2015,8,Mumbai Indians,David Warner,Dwayne Bravo,Andre Russel,Chennai Super Kings
2016,9,Sunrisers Hyderabad,Virat Kohli,Bhuvneshwar Kumar,Virat Kohli,Royal Challengers Bangalore
2017,10,Mumbai Indians,David Warner,Bhuvneshwar Kumar,Ben Stokes,Rising Pune Supergiant
2018,11,Chennai Super Kings,Kane Williamson,Andrew Tye,Sunil Narine,Sunrisers Hyderabad
2019,12,Mumbai Indians,David Warner,Imran Tahir,Andre Russel,Chennai Super Kings
2020,13,Mumbai Indians,Kl Rahul,Kagiso Rabada,Jofra Archer,Delhi Capitals
2021,14,Chennai Super Kings,Ruturaj Gaikwad,Harshal Patel,Harshal Patel,Kolkata Knight Riders
2022,15,Gujarat Titans,Jos Buttler,Yuzvendra Chahal,Jos Buttler,Rajasthan Royals
2023,16,Chennai Super Kings,Shubman Gill,Mohammed Shami,Shubman Gill,Gujarat Titans
