Stadium ID,Name,Home Team,Capacity,City
1,Arun Jaitley Stadium,DC,India,Delhi
2,Barabati Stadium,RR,India,Cuttack
3,Barsapara Cricket Stadium,RR,India,Guwahati
4,Brabourne Stadium,MI,India,Mumbai
5,BRSABV Ekana Cricket Stadium,LSG,India,Lucknow
6,Buffalo Park,NA,South Africa,East London
7,Diamond Oval,NA,South Africa,Kimberley
8,Dr DY Patil Sports Academy,MI,India,Mumbai
9,Dr YS Rajasekhara Reddy Cricket Stadium,MI,India,Visakhapatnam
10,Dubai International Cricket Stadium,NA,United Arab Emirates,Dubai
11,Eden Gardens,KKR,India,Kolkata
12,Green Park,GL,India,Kanpur
13,Himachal Pradesh Cricket Association Stadium,PBKS,India,Dharamsala
14,Holkar Cricket Stadium,PBKS,India,Indore
15,JSCA International Stadium Complex,NA,India,Ranchi
16,Kingsmead,NA,South Africa,Durban
17,M Chinnaswamy Stadium,RCB,India,"Bengaluru, Bangalore"
18,MA Chidambaram Stadium,CSK,India,Chennai
19,Maharaja Yadavindra Singh International Cricket St,PBKS,India,Mullanpur
20,Maharashtra Cricket Association Stadium,CSK,India,Pune
21,Mangaung Oval,NA,South Africa,Bloemfontein
22,Narendra Modi Stadium,GT,India,Ahmedabad
23,Nehru Stadium (Kochi),KTK,India,Kochi
24,Newlands,NA,South Africa,Cape Town
25,Punjab Cricket Association IS Bindra Stadium,PBKS,India,"Mohali, Chandigarh"
26,Rajiv Gandhi International Stadium,SRH,India,Hyderabad
27,Saurashtra Cricket Association Stadium,GL,India,"Khandheri, Rajkot"
28,Sawai Mansingh Stadium,RR,India,Jaipur
29,Shaheed Veer Narayan Sing International Stadium,RR,India,Raipur
30,Sharjah Cricket Stadium,NA,United Arab Emirates,Sharjah
31,Sheikh Zayed Stadium,NA,United Arab Emirates,Abu Dhabi
32,St George's Park,NA,South Africa,Port Elizabeth
33,SuperSport Park,NA,South Africa,Centurion
34,Vidarbha Cricket Association Stadium,MI,India,Nagpur
35,Wanderers Stadium,NA,South Africa,Johannesburg
36,Wankhede Stadium,MI,India,Mumbai
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
