Company Name,Stake,Country,Team Name,Year
India Cements,100%,India,Chennai Super Kings,2008
Deccan Chronicle,100%,India,Deccan Chargers,2008
"Red Chillies Entertainment, Mehta Group","Red-Chillies(55%), Mehta Group(45%)",India,Kolkata Knight Riders,2008
Emerging Media,100%,India,Rajasthan Royals,2008
"GMR Group, JSW Group","JSW Group(50%), GMR Group (50%)",India,Delhi Daredevils,2008
"Preity Zinta, Ness Wadia, Mohit Burman, Saptarshi Dey","Mohit Burman (46%), Ness Wadia (23%), Preity Zinta (23%), Saptarshi Dey(Minor Stake)",India,Kings XI Punjab,2008
United Spirits Limited,100%,India,Royal Challengers Bangalore,2008
Mukesh Ambani's Reliance Industries,100%,India,Mumbai Indians,2008
Sun Group,100%,India,Sunrisers Hyderabad,2012
"Manoj Badale, Amisha Hathiramani, Lachlan Murdoch",100%,India,Rajasthan Royals,2018
"GMR Group, JSW Group","JSW Group(50%), GMR Group (50%)",India,Delhi Capitals,2019
RPSG Group,100%,India,Pune Warriors India,2020
RPSG Group,100%,India,Lucknow Supergiants,2022
"Preity Zinta, Ness Wadia, Mohit Burman, Saptarshi Dey, Karan Paul","Mohit Burman (46%), Ness Wadia (23%), Preity Zinta (23%), Saptarshi Dey & Karan Paul(Minor Stake)",India,Punjab Kings,2022
CVC Capital Partners,100%,India,Gujarat Titans,2022
"India Cements Pvt Ltd, Sri Saradha Logistics Pvt Ltd, LIC","India Cements Shareholders Trust (30%), Sri Saradha Logistics Pvt Ltd (7%) , LIC (6%)",India,Sunrisers Hyderabad,2023
"Emerging Media IPL Ltd, Redbird Capital Partners, Fox Corporation","Emerging Media (65%), Redbird (15%), Fox Corporation (Undisclosed)",India,Rajasthan Royals,2023
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
