Team-Name,Founded,Current Coach,Sponsors,Kit Sponsors
Rajasthan Royals,2008,Kumar Sangakkara,Luminous,Alcis
Chennai Super Kings,2008,Stephen Fleming,TVS Eurogrip,SEVEN
Mumbai Indians,2008,Mark boucher,Slice,Perfomax
Kolkata Knight Riders,2008,Chandrakant Pandit,MyFab11,NA
Delhi Capitals,2008,Ricky Ponting,JWS ,Wrogn
Royal Challengers Bengalore,2008,Sanjay Bangar,Qatar Airways,Puma
Sunrisers Hyderabad,2013,Brian Lara,FanCraze,Wrogn
Punjab Kings,2008,Trevor Bayliss,EbixCash,T10 Sports
Gujarat Titans,2022,Ashish Nehra,Ather,EM
Lucknow SuperGiants,2022,Andy Flower,My11Circle,T10 Sports
Deccan Chargers,2008,NA,NA,NA
Rising Pune Supergiant,2016,NA,NA,NA
Gujarat Lions,2016,NA,NA,NA
Pune Warriors India,2011,NA,NA,NA
Kochi Tuskers Kerala,2011,NA,NA,NA
