Year,Player Name,Team Name,Matches,Runs,Innings,Strike Rate,Batting Average,Highest Score,Average,Centuries,Half Centuries,Ducks
2008,P Amarnath,Chennai Super Kings,6,-,-,-,-,-,-,-,-,-
2008,Abdur Razzak,Royal Challengers Bangalore,1,-,1,-,-,0*,-,-,-,-
2008,AB Agarkar,Kolkata Knight Riders,9,54,6,117.39,10.8,20,10.8,-,-,-
2008,B Akhil,Royal Challengers Bangalore,7,46,7,148.38,15.33,27*,15.33,-,-,1
2008,S Anirudha,Chennai Super Kings,1,1,1,14.28,1,1,1,-,-,-
2008,J Arunkumar,Royal Challengers Bangalore,3,23,3,100,7.66,22,7.66,-,-,1
2008,SA Asnodkar,Rajasthan Royals,9,311,9,133.47,34.55,60,34.55,-,2,-
2008,S Badrinath,Chennai Super Kings,16,192,11,147.69,32,64,32,-,2,1
2008,L Balaji,Chennai Super Kings,9,-,1,-,-,-,-,-,-,1
2008,SB Bangar,Deccan Chargers,11,47,7,95.91,7.83,17*,7.83,-,-,1
2008,R Bhatia,Delhi Daredevils,9,34,3,121.42,17,17,17,-,-,-
2008,MV Boucher,Royal Challengers Bangalore,10,225,10,127.11,32.14,50*,32.14,-,1,-
2008,DJ Bravo,Mumbai Indians,9,178,7,132.83,29.66,64*,29.66,-,1,-
2008,S Chanderpaul,Royal Challengers Bangalore,3,25,3,80.64,8.33,16,8.33,-,-,-
2008,PP Chawla,Kings XI Punjab,15,90,7,152.54,22.5,24*,22.5,-,-,2
2008,B Chipli,Royal Challengers Bangalore,3,20,3,71.42,6.66,10,6.66,-,-,-
2008,SD Chitnis,Mumbai Indians,3,18,2,180,9,15,9,-,-,-
2008,A Chopra,Kolkata Knight Riders,5,42,5,80.76,8.4,24,8.4,-,-,-
2008,DB Das,Kolkata Knight Riders,6,103,6,109.57,17.16,31,17.16,-,-,1
2008,H Das,Deccan Chargers,1,2,1,40,2,2,2,-,-,-
2008,AB de Villiers,Delhi Daredevils,6,95,6,96.93,19,26*,19,-,-,1
2008,P Dharmani,Kings XI Punjab,1,-,-,-,-,-,-,-,-,-
2008,S Dhawan,Delhi Daredevils,14,340,14,115.25,37.77,68*,37.77,-,4,1
2008,MS Dhoni,Chennai Super Kings,16,414,14,133.54,41.4,65,41.4,-,2,-
2008,TM Dilshan,Delhi Daredevils,7,104,7,131.64,17.33,33,17.33,-,-,1
2008,AB Dinda,Kolkata Knight Riders,13,2,3,50,2,1*,2,-,-,-
2008,R Dravid,Royal Challengers Bangalore,14,371,14,124.49,28.53,75*,28.53,-,2,2
2008,CRD Fernando,Mumbai Indians,5,2,1,200,-,2*,-,-,-,-
2008,SP Fleming,Chennai Super Kings,10,196,10,118.78,21.77,45,21.77,-,-,1
2008,Gagandeep Singh,Kings XI Punjab,4,-,-,-,-,-,-,-,-,-
2008,G Gambhir,Delhi Daredevils,14,534,14,140.89,41.07,86,41.07,-,5,-
2008,SC Ganguly,Kolkata Knight Riders,13,349,13,113.68,29.08,91,29.08,-,3,-
2008,B Geeves,Delhi Daredevils,2,-,-,-,-,-,-,-,-,-
2008,HH Gibbs,Deccan Chargers,9,167,9,109.15,18.55,47,18.55,-,-,-
2008,AC Gilchrist,Deccan Chargers,14,436,14,137.1,33.53,109*,33.53,1,3,-
2008,K Goel,Kings XI Punjab,7,76,6,97.43,12.66,26,12.66,-,-,-
2008,MS Gony,Chennai Super Kings,16,35,5,152.17,35,15*,35,-,-,-
2008,SP Goswami,Royal Challengers Bangalore,4,82,3,96.47,27.33,52,27.33,-,1,-
2008,Harbhajan Singh,Mumbai Indians,3,30,3,176.47,15,28,15,-,-,1
2008,ML Hayden,Chennai Super Kings,4,189,4,144.27,63,81,63,-,2,-
2008,BJ Hodge,Kolkata Knight Riders,3,12,3,70.58,4,10,4,-,-,-
2008,JR Hopes,Kings XI Punjab,11,221,11,149.32,20.09,71,20.09,-,2,1
2008,DJ Hussey,Kolkata Knight Riders,13,319,13,123.16,29,71,29,-,2,2
2008,MEK Hussey,Chennai Super Kings,4,168,3,168,84,116*,84,1,-,-
2008,Iqbal Abdulla,Kolkata Knight Riders,1,1,1,50,-,1*,-,-,-,-
2008,RA Jadeja,Rajasthan Royals,14,135,9,131.06,19.28,36*,19.28,-,-,2
2008,W Jaffer,Royal Challengers Bangalore,6,115,6,110.57,19.16,50,19.16,-,1,1
2008,ST Jayasuriya,Mumbai Indians,14,514,14,166.34,42.83,114*,42.83,1,2,-
2008,DPMD Jayawardene,Kings XI Punjab,13,179,12,136.64,25.57,45*,25.57,-,-,-
2008,Joginder Sharma,Chennai Super Kings,8,16,3,145.45,8,16,8,-,-,1
2008,SB Joshi,Royal Challengers Bangalore,4,6,2,42.85,3,3,3,-,-,-
2008,M Kaif,Rajasthan Royals,16,176,14,102.92,16,34*,16,-,-,-
2008,JH Kallis,Royal Challengers Bangalore,11,199,11,108.74,18.09,54,18.09,-,1,1
2008,D Kalyankrishna,Deccan Chargers,3,3,1,37.5,3,3,3,-,-,-
2008,Kamran Akmal,Rajasthan Royals,6,128,6,164.1,25.6,53*,25.6,-,1,-
2008,CK Kapugedera,Chennai Super Kings,5,16,3,69.56,5.33,8,5.33,-,-,1
2008,KD Karthik,Delhi Daredevils,13,145,8,135.51,24.16,56*,24.16,-,1,-
2008,M Kartik,Kolkata Knight Riders,6,30,3,111.11,10,17,10,-,-,-
2008,SM Katich,Kings XI Punjab,2,96,2,139.13,96,75,96,-,1,-
2008,U Kaul,Kings XI Punjab,5,-,1,-,-,0*,-,-,-,-
2008,Z Khan,Royal Challengers Bangalore,11,34,8,79.06,8.5,17*,8.5,-,-,1
2008,MA Khote,Mumbai Indians,4,24,3,109.09,12,9,12,-,-,-
2008,T Kohli,Rajasthan Royals,2,10,2,66.66,5,7,5,-,-,-
2008,V Kohli,Royal Challengers Bangalore,13,165,12,105.09,15,38,15,-,-,1
2008,DS Kulkarni,Mumbai Indians,10,2,1,12.5,-,2*,-,-,-,-
2008,P Kumar,Royal Challengers Bangalore,13,112,12,114.28,11.2,34,11.2,-,-,2
2008,A Kumble,Royal Challengers Bangalore,10,13,5,76.47,6.5,8,6.5,-,-,-
2008,VVS Laxman,Deccan Chargers,6,155,6,117.42,31,52,31,-,1,1
2008,B Lee,Kings XI Punjab,4,17,3,130.76,17,16*,17,-,-,1
2008,DS Lehmann,Rajasthan Royals,2,18,2,100,9,17,9,-,-,-
2008,BB McCullum,Kolkata Knight Riders,4,188,4,204.34,62.66,158*,62.66,1,-,-
2008,GD McGrath,Delhi Daredevils,14,4,3,80,4,4*,4,-,-,1
2008,MF Maharoof,Delhi Daredevils,10,125,8,158.22,20.83,39,20.83,-,-,1
2008,VY Mahesh,Delhi Daredevils,11,15,5,55.55,7.5,6*,7.5,-,-,-
2008,M Manhas,Delhi Daredevils,1,-,-,-,-,-,-,-,-,-
2008,SE Marsh,Kings XI Punjab,11,616,11,139.68,68.44,115,68.44,1,5,-
2008,AD Mascarenhas,Rajasthan Royals,1,9,1,112.5,9,9,9,-,-,-
2008,BAW Mendis,Kolkata Knight Riders,1,-,-,-,-,-,-,-,-,-
2008,Misbah-ul-Haq,Royal Challengers Bangalore,8,117,8,144.44,16.71,47*,16.71,-,-,2
2008,A Mishra,Delhi Daredevils,6,37,3,88.09,12.33,31,12.33,-,-,-
2008,Mohammad Asif,Delhi Daredevils,8,3,2,50,1.5,3,1.5,-,-,1
2008,Mohammad Hafeez,Kolkata Knight Riders,8,64,8,77.1,9.14,16,9.14,-,-,-
2008,JA Morkel,Chennai Super Kings,13,241,10,147.85,34.42,71,34.42,-,1,-
2008,WA Mota,Kings XI Punjab,4,26,2,96.29,26,25,26,-,-,-
2008,A Mukund,Chennai Super Kings,2,-,1,-,-,-,-,-,-,1
2008,M Muralidaran,Chennai Super Kings,15,-,1,-,-,-,-,-,-,1
